"","sententChinese","sententGoogleTranslation","sententYandexTranslation","sententbaiduTranslation","areaCode"
"171","太屎，白百合和李小璐两个人结合在一起，更屎","Too feces, white lily and Li Xiaolu two people together, more feces","Too shit, white Lily and Li Xiaolu two people together, more shit","Too shit, white lilies and Li Xiaolu two people together, more shit",17
"172","对现实有许多的讽刺，不过拍得有些沉闷了，难道冯导也雅中毒？","There are many satire on the reality, but some boring pat, is Feng guidance Ya poisoning?","For real there are many ironies, but the beat was a bit dull, don't Rev the guide also ya poisoning?","There is a lot of satire on reality, but it is a bit dull, and does Feng guide also be poisoned?",17
"173","很写实，已经不是电影了，明明就是戏剧化的焦点访谈节目，披露这个社会这个世界和一些人的嘴脸和生活…","Very realistic, is not a movie, and obviously is the dramatic focus of talk shows, disclosure of this community and some people's face and life ...","Very realistic, has not a movie, it is the dramatic focus of the program, the disclosure of this society, this world and some people in the face and life...","It's very realistic, it's not a movie, it's a dramatic focus talk show, revealing the world and the face and life of some people.",17
"174","想过是烂片，只是没想到能烂到这种地步，太应付了，一个星期拍完的吧","Think of a bad movie, but did not expect to be able to rot to this point, too coping, a week finished it","Thought is a bad film, just didn't think it could be rotten to the point where too cope with, a week finished.","That is a bad film, but did not expect to come to this rotten, too for a week, finished.",17
"175","挺符合小刚的风格，票房不好反应不佳就骂观众骂领导，第一个故事还不错。","Very in line with the style of Xiaogang, poor response at the box office scolded the audience curse leaders, the first story is not bad.","Quite consistent with the small just the style, the box office is not good poor response is to scold the audience scolded the leadership, the first story is also good.","Fit Xiaogang style, the box office is not good poor response to scold scold the audience leadership, the first story is good.",17
"176","明明是搞笑片最后弄成了教育片","Obviously comedy finally made into education films","It is 搞笑片 finally get into education sheet","It's a funny movie that finally makes an education film",17
"177","有深度的调侃","Depth of ridicule","The depth of ridicule","A deep ridicule",17
"178","没那么烂，比春晚好","Not so bad, better than the Spring Festival Gala","Not so bad, better than the show good","Not so bad, better than spring",17
"179","满剧充斥噱头讽刺黑色幽默 冯导毫无诚意之作","Full play gimmick satirical black humor Feng guide no sincerity for the work","Full drama riddled with gimmicks ironic black humor von guide without sincerity to make","Full play is full of gimmicks to satirize the black humor Fung's insincere work",17
"180","电影看起来真的很乱，针砭时弊算是一大亮点 但是结尾处的道歉，看起来更像是演员的作秀，场景设计也是很浮夸","The movie looks really messy, stingy when the drawbacks are a big bright spot but at the end of the apology, looks more like an actor's show, the scene design is also very exaggerated","The movie looks really messy, and commented on the ills was a highlight but at the end of the apology, looks more like the actor of the show, the scene design is also very pompous","The movie looks really messy, as is a major bright spot but at the end of the apology, looks more like an actor show, scene design is very exaggerated",17
"181","看名字和海报我就猜到故事的情节了，有讽刺现今社会和人们，想做到新颖，其实很俗套，没有让人哈哈一笑的情节，但也不失为一个喜剧片","Look at the name and poster I guess the plot of the story, there are ironic in today's society and people, want to be innovative, in fact, very cliche, no laughter plot, but also a loss of a comedy","See the name and posters I guess to the story's plot, there is irony in today's society and people that want to do the novel, in fact, very cliche, not let a person ha ha a smile plot, but may well be a Comedy","Look at the names and posters I guess the plot of the story, a satire of the society and the people, want to be novel, actually very cliche, not let people laugh of the plot, but it will be a comedy",17
"182","睡着几次，一分给我喜欢的葛大爷，一分给我曾经喜欢的王大作家，一分给大老远来请我看电影的弟弟","Asleep a few times, a point to my favorite Ge Grandpa, a point I once loved Wang Da writers, a bit to all the way to invite me to see the movie's brother","Asleep a few times, give me love GE uncle, the one given to me once like the king of the great writer, a given to come all the way to please I'm watching the movie brother","Sleep a few times, give me a love of a writer Wang Ge uncle, I have to love the big one to come all the way to ask me to see the film's brother",17
"183","这片子真垃圾 就最后一点看起来比较有新意","This piece of real garbage on the last point looks more innovative","This film is really garbage it finally looks relatively new","The film is really garbage and it looks new at the last point.",17
"184","风道的冯导的电影我一向买账，冲着葛大爷，我也不能不推荐啊~爱葛大爷，大爱葛大爷","Feng guide the air duct film I have always bought, directed at Uncle Ge, I can not recommend ah ~ Ge Ge love, Ge Ge love big","The duct of von Guide to the movies I always buy it, directed at GE uncle, I cannot but recommend Ah~love GE uncle, big love GE uncle","The air Pingdao movie I always buy it, at GE uncle I can't recommend, ah ~ Aige uncle, great uncle Aige",17
"185","一直想看没有高清的终于高清出来了看完了觉得不看也就那样","Always wanted to see no high-definition finally came out after watching do not look like it","Always wanted to see no HD finally HD came out to look over but do not see it as","NULL",29
"186","不完整，情节过于碎片化，不过我喜欢郑恺","Incomplete, the plot is too fragmented, but I like Zheng Kai","Incomplete, the plot is too fragmented, but I like Zheng Kai","NULL",29
"187","不是很好看 不过很讽刺有点深度","Not very good-looking but very ironic a bit deep","Not very nice but it ironic a little depth","NULL",29
"188","其实电影的前一半还不错，欢乐又有内涵，后来越编越无味，最后的道歉部分使得电影完全脱节，极为生硬突兀。","In fact, the first half of the movie is not bad, joy and content, then the more editable and less tasteless, the final part of the apology made the movie completely out of touch, very abrupt.","In fact, the movie's first half is also good, joy and meaning, then the higher the series the more tasteless, the last of the apology portion so that the film is completely disjointed, very curt abrupt.","NULL",29
"189","其实这部电影挺有趣的，我只是受不了冯小刚那种自大的态度","In fact, this movie is very interesting, I just can not stand Feng Xiaogang arrogant attitude","Actually this movie was kind of fun, I just can't stand Feng Xiaogang kind of arrogant attitude","NULL",29
"190","冯导你老了 跟老谋子一样喜欢砸钱喜欢矫情了 里面最俗奖是给自己的吧","Feng guide you old like the same old man like throwing money like hypocrites inside the most vulgar prize is for yourself","Von guide you old with old to seek the child, like throwing money like hypocritical inside the most vulgar award is to give yourself.","NULL",29
"191","刻意等过了舆论高峰期才看，比想象中的好一些，可惜冯导的诚意在这个时代，不奏效。","Deliberately waited for the peak period of public opinion to see, better than expected, but Feng's sincerity in this era does not work.","Deliberately such as through the public opinion at the peak only to see, than imagine of better, pity von guide of good faith in this day and age, does not work.","NULL",29
"192","后面对大自然的道歉，太突兀。","Behind the apology to nature, too abrupt.","Back to the nature of the apology, too obtrusive.","NULL",29
"193","就第一个故事不错  其他的太做作了","The first story is good and the other is too contrived","On the first story good the other is too contrived.","NULL",29
"194","开始还凑合，情节很俗很合我个人的品位，后来走温（keng）情(die)路线，本人就开始过敏了，最后也没俗下来，只能因过敏暴毙身亡了","The beginning is OK, the plot is very vulgar my personal taste, and then take the temperature (die) line, I began to allergies, and finally vulgar, only died of allergies","Began also to improvise, the plot very vulgar very fit my own personal taste, then go temperature keng）case(die)route, I began to allergies, and last but not the vulgar down, can be due to Allergy drop dead death.","NULL",29
"195","很烂，感觉冯小刚的电影以后再也不会去看了。","Bad, feeling Feng Xiaogang's movie will never see again.","Sucks, feel Feng Xiaogang movie later never to see.","NULL",29
"196","我看大多数人都骂着呢，我还比较喜欢的，台词比较搞笑，同样也有讽刺、调侃。","I think most people curse it, I still like, the lines funny, the same irony, ridicule.","I see most people are cursing yet, and I also prefer the lines of the comparison funny, also had irony, ridicule.","NULL",29
"197","抱着很大的期望，结果只能让人失望。。。","With great expectations, the result can only disappoint. . .","Hold Great Expectations, the results can only disappoint you.","NULL",29
"198","故事感觉不是很连贯 三观还是很正的 最后一段故事挺感动的 特别是音乐一出来 很想哭","The story is not very coherent three view or very positive last paragraph of the story is very moving, especially the music came out crying very much","The story did not feel very coherent three-view is still very positive in the last paragraph of the story quite moving, especially the music out want to cry","NULL",29
"199","故事衔接不好 没有连贯性 就像看了三个毫无关系的小故事 最后一段环保的接的突兀 不过插曲不错","The story is not good cohesion is not consistent with the read like three unrelated story of the last paragraph of the environmental protection of the unexpected But the episode is not bad","The story of convergence is not good there is no coherence like watching three unrelated short story in the last paragraph of environmental protection of the connector of the unexpected, but the episode is good","NULL",29
"200","故事还可以，事先听说是白百合和李小璐在便断定必然很烂，但是觉得故事的设定很有意思，王朔的剧本还是不错的～看完觉得白百合长得还可以，可还是没好感，李小璐以前多清纯一妹子，没想到都能演色诱戏了","The story is OK, I heard in advance is Bai Lily and Li Xiaolu in determining the inevitable sucks, but I think the story is very interesting set, Wang Shuo's script is still good ~ After reading that white lily grows okay, but still does not feel good, Li Xiaolu ago More pure a sister, did not expect to be able to play color lure","The story can also advance heard is the white Lily and Li Xiaolu in to conclude that necessarily sucks, but think of the story setting is very interesting, Wang Shuo screenplay was good to see the finish but a white Lily grow can also, still not good, Li Xiaolu before more innocent a girl, I did not expect can play seduce game.","NULL",29
"201","无聊 但是最后一段 道歉的主题还好","Boring but the theme of the last paragraph of apology okay","Boring but the last paragraph of the apology of the theme okay","NULL",29
"202","无语…","Speechless ...","Speechless...","NULL",29
"203","无语了我都。。。","I have speechless. . .","Speechless I have to.","NULL",29
"204","毫无诚意，东拼西凑，拿肉麻当有趣","No sincerity, patchwork, take nauseating fun","Without sincerity, patchwork, take nauseating when interesting","NULL",29
"205","烂死 最后一堆道歉衔接不畅 好牵强的感觉 赞的是时间都去哪了这首歌和宋丹丹","The last pile of ailment apologize poorly poor far-fetched feeling like this is where the time went to this song and Song Dandan","Rotten dead last to a bunch of apologies convergence is not smooth a good far-fetched to feel like that time is gone the song and song Dandan","NULL",29
"206","王朔从来没让人失望。","Wang Shuo never disappoints.","Wang Shuo never disappoint.","NULL",29
"207","甲方乙方的进化版本，讽刺意味浓厚，针砭社会不良风气，直指环境保护课题，但缺少深度，情节衔接处理有些生硬。","Party B's evolutionary version of ironic means strong, stingy social unhealthy atmosphere, directed at the topic of environmental protection, but the lack of depth, plot cohesion and some blunt.","Party a party b The evolution version, the irony is thick, as a mirror for society, bad atmosphere, straight refers to the environmental protection problems, but the lack of depth, plot the convergence process is somewhat blunt.","NULL",29
"208","真没有网评的那么差，就是故事情节发展有点慢，三个故事不够连贯","There is really no net appraisal so poor, that is, the development of the story a bit slow, the three stories are not coherent","Really there is no net assessment so bad, it's the story of the plot development a little slow, the three story is not coherent","NULL",29
"209","确实没想象中的那么棒，剧情衔接很生硬，看着没那么顺，雅过敏那段看着都有点蒙儿，结尾道歉部分又感觉接得太别扭了。","Really did not imagine so good, the plot convergence is very stiff, looking not so smooth, Ya allergy that period looked a little blind, the end apology part and then feel too awkward.","Do not imagine so good, the plot engaging very stiff, and looked not so smooth, ya Allergy that looked at are a little Mongolian child, the end of the apology section and feel connected too awkward.","NULL",29
"210","第一幕比较好看，第二幕的愿望有些荒诞，第三幕设计得很牵强","The first act is more attractive, the second act is somewhat absurd, and the third one is very far-fetched","The first screen looks better, the second act of the desire of some of the absurd, third screen design is very far-fetched","NULL",29
"211","纯粹爆米花电影，要情节没情节，要美女没美女","Pure popcorn movie, the plot is not the plot, the beauty is no beauty","Pure popcorn movie, to the plot not the plot, to beauty no beauty","NULL",29
"212","葛大爷真的不会让人失望！","Grandpa Ge does not disappoint!","GE uncle really will not disappoint!","NULL",29
"213","逗贫玩好了叫艺术，调侃到位了就是幽默。","Too bad to play art called, ridicule in place is a humor.","Amuse lean to play well called Art, and ridicule in place is humor.","NULL",29
"214","一般吧 很失望 翻拍的甲方乙方 前面看着还行 药匣子演的还不错 后面不知所云 感觉想深刻但不深刻 想喜剧但不喜剧 总体感觉尴尬 葛大爷的演技还是一样的棒 导演不知道这次在想什么","NULL","Generally it is very disappointing remake of party A and party B previously looked at also the medicine box play of the also great behind the incomprehensible feeling of want to you but don't you want Comedy but not the Comedy overall feels awkward to GE uncle's acting is still the same bar the Director didn't know this time what to think","It is generally very disappointed remake of Party A Party B looked okay to play in front of the medicine cabinet is also good to feel deep behind the unintelligible but not deep to comedy but not the general feeling awkward comedy Ge uncle acting is best director like don't know what the want",20
"215","三段式的电影：讽刺、自嘲、亲情和公益，除了第三段的故事和插曲挺好，其他全是尿点，毫无新意","NULL","The third segment of the film: irony, self-mockery, affection and charity, in addition to the third paragraph of the story and the episode is good, the other is all urine point, nothing new","Three sections of movies: satire, self mockery, kinship and public welfare, except for the stories and interludes of the third paragraph, all the others are urine, no new meaning.",20
"216","不大喜欢，也看不大明白，，，尤其是里面关于高雅部分，简直是俗不可耐啊！","NULL","Not more like, also look not to understand,,, especially the inside about the elegant part, is simply vulgar not resistant!","Not love, also do not understand, and, especially on the inside of the elegant, it is too vulgar to be endured!",20
"217","中间确实无聊得很，但是结尾不赖","NULL","The middle of really boring very, however at the end.","It's really boring in the middle, but it's not good at the end",20
"218","俗俗俗三俗无敌撑场子，笑点很牵强但还是很接地气，值得一看哦!","NULL","Vulgar vulgar vulgar three popular invincible support wherever he goes, laugh very far-fetched but still very grounded gas, worth a look!","Vulgar vulgar vulgar invincible up, bursting point is very far fetched but still very down to earth, see oh!",20
"219","内涵挺有点的，就是拍的太肤浅。。。","NULL","The connotation quite a bit, is shoot too superficial for.","The connotation is quite a little, that is, it is too superficial.",20
"220","剧情太弱，导演关注的问题的设想还是不错的。","NULL","The plot is too weak, directed attention to the problem of vision is good.","The plot is too weak, and the director's attention to the question is still a good idea.",20
"221","因为我真有一辆车，哈，真实在，虽然剧情实在太散太平淡，但是，最后的对河流山川大自然的致歉，起码对于现状确实有了剖析，是有待解决的问题，不过，做出自己能做到的，量力而为就好。","NULL","Because I really have a car, ha, true in, although the plot is too scattered too bland, however, the last of the rivers the mountains and the nature of the apology, at least for the status quo do with profiling, is a problem to be solved, however, make their own can do, live within your means.","Because I really have a car, ah, in real, although the story is too loose too dull, but the last of the rivers and mountains of nature to apologize, at least for the status quo are analyzed, the issues to be resolved, however, make you can do, not good.",20
"222","就是觉得新颖 好看 画面很精致 情节夸张搞笑 讽刺 是我的菜 纵然它什么情节前后不连贯 随他去吧","NULL","Is there a novel look good on the picture is very delicate plot exaggerated funny irony is my dish even though it is what the plot back and forth is not coherent with him go.","I think the new and beautiful picture is very delicate, the plot, the ridicule, the satire, is my dish, even if the plot is not consistent with him.",20
"223","总体感觉平淡乏味……","NULL","The overall feeling plain boring......","The overall feeling is dull and dull.",20
"224","情节有些刻意，时间都去哪儿了不错，有些不太知道在表达什么，官钱俗，并没有什么创意","NULL","The plot is somewhat deliberately, the time where good, some not too know the expression what officer money vulgar, and nothing creative","The plot is deliberate, the time goes well, some don't know what to express, the official money and the vulgar, and there is no idea.",20
"225","拼凑感很强，有些剪辑、情节很突兀，另外冯导，咱这广告做的也太硬了吧？","NULL","Piece together a sense of very strong, some of the clips, the plot is very obtrusive, in addition to von guide, our ads do too hard?","A strong sense of patchwork, some clips, the plot is very abrupt, and the other Feng guide, I do this advertisement is too hard?",20
"226","本子太差，想幽默包袱不够，想玩点感动泪点不足，最后想深度一把，狗尾续貂","NULL","The book is too poor, want to humor the burden is not enough, want to play the point touched the point of tears is insufficient, finally want to the depth of a hand, towards the end of","The book is too poor to humor the burden is not enough, want to play little touched tears, finally to a depth, gouweixudiao",20
"227","没有批评的那么糟啊","NULL","There is no criticism so bad?","No criticism is so bad",20
"228","看起来很符合中国贺岁档片的所有需求，可惜片尾很无厘头，完全和影片脱节的感觉","NULL","Looks very in line with the Chinese New Year profile sheet of all the needs, but unfortunately the credits it does not make sense, completely and the film disjointed feel","Look with all the needs of Chinese Lunar New Year stalls tablets, but the end is nonsense, and the film completely disjointed feeling",20
"229","真不咋的，剧情毫无创意，和甲方一方一个路子，桥段插入生硬，给个辛苦分","NULL","Really do not gnaw, the plot devoid of originality, and the party party is a road, the plot is inserted stiff, giving a hard division","It is not good, the plot no creativity, and party a party a way to insert a plot, stiff, hard points",20
"230","笑料还行，剧情不足，诚意补~","NULL","Jokes, the plot is insufficient, the sincerity of the fill~","The joke is OK, the plot is insufficient, the sincerity is filled.",20
"231","第一个故事很棒，第二个故事拖节奏，第三个故事有点意思，结尾的道歉情怀太突兀","NULL","The first story was great, the second story dragged rhythm, and the third story is a bit mean, at the end of the apology feelings too obtrusive","The first story is great, the second stories tow the rhythm, the third stories are a little interesting, and the end of the apology is so abrupt",20
"232","至少我笑了挺多次 笑点低加之不爱挑剔 私人定制 无非就是一场用谎言编织的骗局 满足人们的欲望 生活也是如此 虚假也是一部分 自欺欺人最终是难得糊涂 知足常乐","NULL","At least I laughed quite many times 笑点低 coupled with do not love the finicky private custom is nothing more than a field with lies woven Scam meet people's desire to live is also so false is also part of the self-deception is ultimately less confused contentment","At least I laughed very many bursting point coupled with low not fussy private custom is nothing more than a lie fabricated to meet the people's desire of life is so false is also a part of self deception is rare enough",20
"233","节奏太慢，以至于在李成儒进了KTV之后我就抑制不住的睡过去了，直到丹姐的环节才醒过来，然后就感动得一塌糊涂，柴米油盐半辈子，转眼就剩下满脸皱纹，时间都去哪了","NULL","The rhythm is too slow, so that in Li RU went to KTV after that, I could not suppress sleep in the past until Dan SIS link just woke up, and then it was moved to a mess, mundane rest of my life and gone on the rest wrinkled, time went.","The pace is too slow, so after Li Chengru entered in KTV I could not suppress the sleep in the past, until Dan link to wake up, and then moved in a complete mess, fuel half, turn left wrinkled, where did the time go",20
"234","一星给风景，不用谢。","NULL","A star to the scenery, you're welcome to.","NULL",63
"235","上映很难得，很多讽刺现实的东西，只是结尾太扯了","NULL","Release very rare, a lot of irony in the reality of things, just the end is ridiculous.","NULL",63
"236","不管他真俗假俗，他感动到我了，豆瓣有时候评分是有些太刻薄了","NULL","Besides, he's really vulgar pseudo-secular, he moved to me, watercress sometimes the scoring is a bit too unkind.","NULL",63
"237","你们太想传递正能量了，一下子接不住","NULL","You too want to pass positive energy, all of a sudden pick not","NULL",63
"238","你要说这不是喜剧我就给满分","NULL","You say this is not Comedy, I'll give out","NULL",63
"239","其实电影没有风评那么差，虽然本质上更像是一部加长版的小品，不过中间有些故事的细节蛮有意思的，只是整体太正面向，以及最后的道歉过于掉胃口了","NULL","In fact the movie did not wind assessment so bad, although essentially more like an extended version of the skit, but in the middle some of the story details are quite interesting, and just overall too positive, and, finally, the apology is too off appetite.","NULL",63
"240","冯导想拍高雅拍深度，但是我们只想看俗。","NULL","Von guide want to shoot tastefully shot depth, but we just want to look vulgar.","NULL",63
"241","冯导想法太多了，逻辑太差了，感情没地儿搁了，太喜欢北京话了…因为葛大爷的戏份给2星吧，而且之前看了太多恶评有足够的心理准备，很容易接受…","NULL","Feng turned the idea too much, the logic is too bad, feelings have no place of resting, too like Mandarin...because GE uncle play for 2 star bar, but before you see too many bad reviews have enough psychological preparation, it is easy to accept...","NULL",63
"242","冯小刚这张钢炮嘴喷你喷他 自己导的片子越来越没水准了","NULL","Feng Xiaogang this steel gun spray nozzle you spray his own Guide to the film getting such a vulgar bunch..","NULL",63
"243","剧情进展缓慢，甲方乙方的第二部，但是没有那部直指人心了，有些情节牵强生硬，但是女性身材好的没话说啊！","NULL","The plot is slow progress, Party a party b of the second portion, but not that a straight refers to the heart, and some of the plot far-fetched blunt, but the female body good nothing to say!","NULL",63
"244","加一星给创意，不过看个电影还得琢磨着每一句的反讽和大道理，那也太累了","NULL","Plus one star to the creative, but watch a movie also was pondering every sentence in the irony and philosophy, and that also too tired","NULL",63
"245","勉强可看吧，剧情有点支离破碎的感觉！","NULL","Barely can see it, the plot is somewhat fragmented feeling!","NULL",63
"246","原本觉得国产贺岁很口水，王朔当编剧确实吸引~踩红线了，也调侃了电影人~","NULL","The original feel that made video on demand a saliva, Wang Shuo when a writer really attracted to step on the red line, but also ridicule a movie person~","NULL",63
"247","喜剧片但是不好笑，有点做作，影片虽然最后立意环保，但略显直白突兀，缺少那么点韵味和意思。","NULL","Comedy but not funny, a bit contrived, the film although the last intention of eco-friendly, but slightly blunt obtrusive, missing then point the charm and meaning.","NULL",63
"248","坚持看电影就是为了上豆瓣看评论，但最终没能坚持都看完。","NULL","Stick to the movies is to on douban look at the reviews, but ultimately failed to stick to all watching.","NULL",63
"249","太好了，完全不负我所望。","NULL","Great, completely not negative I hope.","NULL",63
"250","好几处简直无语，最后那个。。。","NULL","Several simply speechless, and finally that it.","NULL",63
"251","宋丹丹那段挺感人的 最后环境那几段独白 郑恺欠点 葛优那段采访太画蛇添足了 就感觉编剧写写没灵感了 一顿凑活","NULL","Song Dandan that segment quite touching the last environment that monologue Zheng Kai owe points to GE that interview too overdoing it on feeling writer to write no inspiration for a meal to scrape a living","NULL",63
"252","影片的创意不错，不过深度有限，看完给人一种当头一蒙的感觉，最后那点道歉什么的，感觉太突兀，有些神经。","NULL","The film's creative is good, but limited depth, the reading gives a head a Meng feeling, that last point is an apology or something, feel too obtrusive, and some nerves.","NULL",63
"253","很一般，毫无罗辑，毫无高潮，就是几个小品加一起，有意思吗 。","NULL","Very generally, there is no logic, there is no climax, just a few pieces added together, interesting.","NULL",63
"254","很好的电影，不明白为什么这么多人不喜欢","NULL","Very good movie, don't understand why so many people don't like","NULL",63
"255","情节老套，亮点也就是在最后对自然的道歉了，为葛大爷打个三颗星。","NULL","The plot trite, the highlight of which is in the last of the natural apology for GE uncle hit a three stars.","NULL",63
"256","惊喜不足","NULL","Surprise insufficient","NULL",63
"257","想假轻松真内涵，可惜，太做作了！","NULL","Want to leave easy really connotation, unfortunately, too contrived!","NULL",63
"258","想用黑色幽默昭示一些正面的意义，不过剧情实在有些简陋了。","NULL","Want to use black humor to show some positive significance, but the plot is somewhat rudimentary.","NULL",63
"259","感觉就一个字乱，拼凑出来的情节，虽然想讽刺一些东西，但是，感觉一点深度都没有，表达的东西很牵强","NULL","Feeling a mess, cobbled together out of plot, although want to satire something, but feel a little depth are not, Express something very far-fetched","NULL",63
"260","成全导演，恶心观众","NULL","Fulfill the Director, nausea viewers","NULL",63
"261","成全导演，恶心观众。","NULL","Fulfill the Director, nausea audience.","NULL",63
"262","成全自己，噁心别人","NULL","Fulfill their own, evil hearts of others","NULL",63
"263","我觉得还行么（除了最后那一段确实很突兀），至少比警察故事好多了，为啥是这个分？","NULL","I think also what in that last paragraph is indeed very obtrusive, and at least more than the police story much better, why is this?","NULL",63
"264","支离破碎和俗不可耐都在意料之中，关键还一点都不可乐，最后的朗诵更是一身鸡皮疙瘩。","NULL","The fragmented and vulgar not resistant to all expected, the key point is not the music, and finally the recitation is one goose bumps.","NULL",63
"265","故事编剧有点大杂烩的生涩感 尤其末了突然出现的道歉日 关注社会的意到了 但正能量的有点虚","NULL","Story writer a bit of a hodgepodge of jerky feeling, especially at the end suddenly appeared the apology may concern the society intended to but the positive energy of a little imaginary","NULL",63
"266","无聊时候看的 打发时间是不错的选择","NULL","Boring time to pass the time is a good choice","NULL",63
"267","最后一段的初衷是好的 但真的好突兀...","NULL","The last paragraph of the original intention is good, but really really awkward...","NULL",63
"268","最后联系到环境保护实在是太扯了。。","NULL","The last contact to environmental protection is too ripped.","NULL",63
"269","最近几年对冯小刚的电影都没什么感冒，不是冯小刚的电影不行了，而是现在的观众太挑剔、太不能入戏、太低能了，动不辄就好莱坞的无脑无剧情的科幻大片，对类型片、剧情片更是贬低的一无是处，到最后就是国产无好电影。","NULL","In recent years of Feng Xiaogang's movies are nothing cold, not Feng Xiaogang movies to die, but now the audience is too picky, too not into games, too low, not Noir's Hollywood no brain no plot of the sci-Fi blockbuster, on the type sheet, plot sheet is demeaning for nothing, to the last is made no good movies.","NULL",63
"270","正片还不如预告片好看，所有的精华也就那三分钟了。","NULL","Positive film than the trailer look good, all the essence is also on that three minutes.","NULL",63
"271","每一个小故事都在暗搓搓的讽刺，最后的道歉也算是个惊喜","NULL","Each little story are in the dark rubbing in the irony, the last apology was a surprise.","NULL",63
"272","没多好，也没那么差，一个贺岁喜剧，看轻松了挺好~","NULL","Not much good, but also not so poor, a new year Comedy, think less of loose fine~","NULL",63
"273","没想象中难看，黑色幽默的片不多了，要赞一个","NULL","Didn't think ugly, black humor of the piece is not much, want to like this one","NULL",63
"274","没意思 还有正能量","NULL","Boring and positive energy","NULL",63
"275","略有失望","NULL","Slight disappointment","NULL",63
"276","看完电影瞬间就肚子疼了，故事人物有点苍茫，情节有点苍白，总体效果有点苍凉……","NULL","Watching the film instantly just a stomach ache, story characters a bit vast, the plot is a little pale, the overall effect is a bit bleak......","NULL",63
"277","看这片继续下去的唯一动力是想看看这片究竟有多烂","NULL","Look at this sheet to continue only power is to want to see this piece exactly how rotten","NULL",63
"278","真心觉得一般，和期待差的很远，不得不说预告片做的很好。。。。","NULL","Really feel in General, and look forward to difference very far, have to say the trailer did good.。。。。","NULL",63
"279","真的好难看。","NULL","Really good to see.","NULL",63
"280","确实满风格化，确实是烂片。","NULL","Indeed full of style, is really rotten slice.","NULL",63
"281","立意不错，桥段老套，就是把各种社会现象搬上荧幕，无新意","NULL","With the intention of good, the plot trite, is the various social phenomena that moved on the screen, nothing new","NULL",63
"282","第一个段子满分，第二个段子零分，第三个段子负分，还好意思骂人家影评人跟站着把钱赚了的？？","NULL","The first piece is out, the second piece of the zero points, the third piece of the negative points, have the nerve to curse home film critic with the station with the money earned??","NULL",63
"283","结局想提高片子高度 适得其反","NULL","Ending want to improve the film highly counterproductive","NULL",63
"284","肛哥春晚小品审多了，丧失了高雅的能力、苦情逗乐的能力还有拍长片的能力，句中人说不出人话办不出人事哭丧着脸苦笑生活，一颗星给高端黑的第一个故事","NULL","Anal brother Spring Festival evening pieces trial much, the loss of the elegant capabilities, affliction tickled the ability to also shoot the Feature Film the ability to sentence people to utter people words do not of personnel with the sad faces smile life, a star to the high-end black in the first story","NULL",63
"285","莫名奇妙","NULL","Inexplicable wonderful","NULL",63
"286","虽然是独特视角在看社会，但是总感觉很做作","NULL","Although the unique perspective of looking at social, but always felt very contrived","NULL",63
"287","超级无聊，范伟的笑声要恶心死我了···","NULL","Super bored, fan Wei laughter to nausea dead me.···","NULL",63
"288","跟冯导之前的电影比没啥突破啊，不过最后的道歉部分台词很感人，还有草原上的大坑太触目惊心，保护地球，从我做起。","NULL","With Feng guide before the movie than don't break Yeah, but in the end the apology portion of the lines are touching, there on the Prairie of the big hole too shocking, to protect the Earth from me.","NULL",63
"289","身为一个俗人，俺就喜欢这种俗片","NULL","As a laity, I would like such a vulgar piece","NULL",63
"290","还悲天悯人敬畏之心呢，我呸。","NULL","Also compassionate awe?, I Pooh it.","NULL",63
"291","这故事真纠结，想表达的是啥啊","NULL","This story really tangled, want to Express is what.","NULL",63
"292","这电影的结尾变成了环保宣传片，太突兀了…范伟那故事有点意思，丹丹阿姨那个就是被配乐感动了一下，至于中间的那个，真不知道导演在想什么了…","NULL","This is the end of the movie turns into a green propaganda piece, too obtrusive...fan Wei that story a little meaning, Dandan aunt that's been the soundtrack moved a bit, as far as the middle of that, I don't know the Director what to think...","NULL",63
"293","银行姑娘诚意邀约而去，这部片子没想像好看，虽不乏惯有冯式幽默，但有些也俗了，比如色诱、换血等，看完后觉得像是大拼盘或者说大杂烩，将时下政府官员贪污受贿纸醉金迷糜烂生活及人们追求所谓的成功及暴富后迷失自我进行系列嘲讽升华，最后又以最近雾霾为主题渲染环境保护总体感觉有些突兀不连贯拼凑","NULL","Banks girl faith solicitation, this film did not imagine the good-looking, although no shortage of customary Feng humor, but some customs, such as seduce, exchange of blood, etc., after reading felt like a large platter or a Smorgasbord, the nowadays government officials corruption and bribery Kurfurstendamm erosion of life and People's pursuit of the so-called success and riches after the lost series mocking sublimation, and finally to the recent haze-themed rendering of environmental protection the overall feeling somewhat abrupt and incoherent patchwork","NULL",63
"294","非常一般的贺岁片","NULL","Very General surreal","NULL",63
"295","非常具有讽刺意味的电影  剧情纯扯淡 但是要是当喜剧看的话还可以 觉得范伟真是太逗了","NULL","Very ironic that the movie plot is pure crap, but if when the Comedy to see, then you can also think of fan Wei is really too funny","NULL",63
"296","高级黑   这其实不是喜剧      在广电局限下 黑这么猛    赞。","NULL","Senior black this is actually not a Comedy in the radio and television limitations under the Black so fierce.","NULL",63
